Taxonomy,Field,sub-field
Engineering,"Operations Research, Systems Engineering and Industrial Engineering","['Ergonomics', 'Industrial Engineering', 'Operational Research', 'Systems Engineering']"
Engineering,Plastics Engineering,[]
Engineering,Production Technology,"['Joining and Separation Technology', 'Metal-Cutting and Abrasive Manufacturing Engineering', 'Plastics Engineering', 'Primary Shaping and Reshaping Technology, Additive Manufacturing', 'Production Automation', 'Production Systems, Operations Management, Quality Management and Factory Planning']"
Physical Sciences & Mathematics,Applied Mathematics,"['Control Theory', 'Dynamic Systems', 'Non-linear Dynamics', 'Numerical Analysis and Computation', 'Ordinary Differential Equations and Applied Dynamics', 'Partial Differential Equations']"
Physical Sciences & Mathematics,Astrophysics and Astronomy,"['Cosmology', 'External Galaxies', 'Instrumentation', 'Physical Processes', 'Planetary Sciences', 'Stars, Interstellar Medium and the Galaxy', 'The Sun and the Solar System']"
Physical Sciences & Mathematics,Chemical Solid State and Surface Research,"['Physical Chemistry of Solids and Surfaces, Material Characterisation', 'Solid State and Surface Chemistry, Material Synthesis']"
Physical Sciences & Mathematics,Chemistry,"['Analytical Chemistry', 'Biochemistry', 'Biological Chemistry and Food Chemistry', 'Environmental Chemistry', 'Inorganic Chemistry', 'Materials Chemistry', 'Medicinal-Pharmaceutical Chemistry', 'Molecular Chemistry', 'Organic Chemistry', 'Physical Chemistry', 'Polymer Chemistry', 'Process Engineering, Technical Chemistry', 'Solid State and Surface Chemistry, Material Synthesis', 'Theoretical Chemistry']"
Physical Sciences & Mathematics,Computer Sciences,"['Artificial Intelligence', 'Computer Architecture and Embedded Systems', 'Computer Science General Literature', 'Computer Science and Game Theory', 'Computer Vision and Pattern Recognition', 'Computer and Systems Architecture', 'Computers and Society', 'Cryptography and Security', 'Databases/Information Systems', 'Graphics', 'Human Computer Interfaces', 'Information Systems, Process and Knowledge Management', 'Interactive and Intelligent Systems, Image and Language Processing, Computer Graphics and Visualisation', 'Massively Parallel and Data-Intensive Systems', 'Numerical Analysis/Scientific Computing', 'OS/Networks', 'Operating, Communication, Database and Distributed Systems', 'Programming Languages/Compilers', 'Security and Dependability', 'Software Engineering', 'Software Engineering and Programming Languages', 'Theoretical Computer Science', 'Theory/Algorithms']"
Physical Sciences & Mathematics,Earth Sciences,"['Biogeochemistry', 'Cosmochemistry', 'Environmental Sciences', 'Geochemistry', 'Geology', 'Geophysics and Seismology', 'Glaciology', 'Mineral Physics', 'Paleobiology', 'Paleontology', 'Soil Science', 'Tectonics and Structure', 'Vulcanology']"
Physical Sciences & Mathematics,Mathematics,"['Algebra', 'Algebraic Geometry', 'Analysis', 'Category Theory', 'Complex Variables', 'Discrete Mathematics and Combinatorics', 'Dynamics/Dynamical Systems', 'Geometry and Topology', 'Harmonic Analysis and Representation', 'Logic and Foundations', 'Mathematical Software', 'Mathematics History and Overview', 'Number Theory', 'Set Theory']"
Physical Sciences & Mathematics,"Mineralogy, Petrology and Geochemistry",[]
Physical Sciences & Mathematics,Oceanography and Atmospheric Sciences and Meteorology,"['Atmospheric Sciences', 'Climate', 'Fresh Water Studies', 'Meteorology', 'Oceanography']"
Physical Sciences & Mathematics,"Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas",[]
Physical Sciences & Mathematics,"Particles, Nuclei and Fields","['Nuclear and Elementary Particle Physics, Quantum Mechanics, Relativity, Fields']"
Physical Sciences & Mathematics,Physics,"['Accelerator Physics', 'Applied Physics', 'Atomic, Molecular and Optical Physics', 'Biological and Chemical Physics', 'Classical Physics', 'Computational Physics', 'Condensed Matter Physics', 'Cosmology, Relativity, and Gravity', 'Data Analysis, Statistics and Probability', 'Elementary Particles and Fields and String Theory', 'Engineering Physics', 'Fluid Dynamics', 'General Physics', 'Geophysics and Geodesy', 'History and Philosophy of Physics', 'Medical Physics', 'Non-linear Dynamics', 'Nonlinear Sciences', 'Nuclear', 'Nuclear Experiment', 'Optics', 'Physics Education', 'Plasma and Beam Physics', 'Popular Physics', 'Quantum Physics', 'Space Physics']"
Physical Sciences & Mathematics,Polymer Research,"['Experimental and Theoretical Physics of Polymers', 'Polymer Materials', 'Preparatory and Physical Chemistry of Polymers']"
Physical Sciences & Mathematics,"Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics",[]
Physical Sciences & Mathematics,Statistics and Probability,"['Applied Statistics', 'Biometry', 'Biostatistics', 'Data Analysis, Statistics and Probability', 'Other Statistics', 'Probability', 'Statistical Methodology', 'Statistical Theory']"
Physical Sciences & Mathematics,Water Research,"['Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management']"
Social and Behavioral Sciences,Agricultural and Resource Economics,[]
